Pos	Club	PTS	PJ	PG	PE	PP	GF	GC	DIF
1	Cobresal 	28	15	8	4	3	27	14	13
2	Huachipato 	28	14	9	1	4	23	13	10
3	Coquimbo Unido 	25	15	8	1	6	20	19	1
4	Universidad Católica 	23	14	6	5	3	28	18	10
5	Colo-Colo 	23	15	6	5	4	20	18	2
6	Universidad de Chile 	23	14	6	5	3	15	13	2
7	Everton 	22	15	6	4	5	23	23	0
8	Unión Española 	21	15	5	6	4	18	13	5
9	OHiggins 	20	15	5	5	5	18	16	2
10	Audax Italiano 	19	15	5	4	6	22	21	1
11	Palestino 	19	15	5	4	6	21	27	-6
12	Ñublense 	18	15	5	3	7	17	23	-6
13	Unión La Calera 	17	15	3	8	4	18	20	-2
14	Curicó Unido 	16	15	5	1	9	18	26	-8
15	Deportes Copiapó 	13	15	3	4	8	13	26	-13
